frase,linguaggio,modello,sporca,pulita,rumorosa,fredda,affettuosa,ritardataria,pia,onesta,furba,precisa,divertente,noiosa,educata,maleducata,inesperta,colta,sensibile,p_value_binomial
Chi pensi che sia? Monna Maruzza.,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Chi te pienze che ssia? Monna Maruzza.,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
"Chi vuole apparire bella, pene e guai deve patire.",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"Chi vuole apparire béla, vianéla e guai deve patir.",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.01273
"Chillo fu tiempo che Berta filava,",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.00235
Chillo non era tiempo ammagagnato!,napoletano,gpt-4.1-mini,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.00235
"Chista idea nun è a stissa pi tutti li linguisti; alcuni dicono invece ca, cu tutti li differenze ca cci sono ntra chisti parlati e pû fattu ca nun esiste nessuna standardizzazione, nun si può parrari di na ""napulitanu"" e parlano mmeci di nu continuum di ""parlati taliani meridionali intermedi"".",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,0.33231
"Chiù 'a capa è vacante, chiù 'a lengua è longa.",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.00235
Chî rosi ndi menzu â tàvula?,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"Ci ha creduto anche lui, e ci doveva credere!",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.00027
"Cient’anne arreto ch’era viva Vava,",napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.00027
"Cinquantadue anni, e agh permette di mèttros cón ’n giòvna di ventidue!",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
"Cinquantadue anni, e si permette di mettersi con una ragazza di ventidue!",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.00027
"Cinquantadue anni, e si permette di mittìrisi cu na picciotta di ventidue!",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
"Cinquantaduie anne, e se permette 'e se mettere cu' na figliola 'e vintiduie!",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
"Cme all’ultima dònna am hai trattato, sémpor!",parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.00027
"Come all’ultima donna mi hai trattato, sempre!",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00027
"Comm' all'ultima femmena m' he trattato, sempe!",napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.00027
"Comu all’ultima mugghieri mi hai trattato, sempri!",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Con le rose in mezzo alla tavola?,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Csichenchì nisón è fesso.​,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
Cu a parla e duvi?​,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Cu nun sa chiànciri nun sa neanche rìdiri.,siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,True,0.33231
Cu pensi ca sia? Monna Maruzza.,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00027
"Cu vuole apparire bedda, aceddu e asara deve patiri.",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,0.01273
"Còll fu tempàs che Berta filava,",parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.00235
Còll non era tempàs ingannato!,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Còlla cón la gonnellina di scarlatto,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
"Còsta idea non è la stessa per tutti i linguisti; alcuni dicono invési che, cón tutte il differenze che agh sono tra questi dialetti e per il fat che non esiste nessuna standardizzazione, non agh può squaquarär di ’n ""lengua napoletana"" e parlano invési di un continuum di ""dialetti italiani meridionali intermedi"".",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,0.33231
Cón il rose daméz a la tävla?,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"C’era il Re Marruocco che agh armava,",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.00235
"C’era il Re Marruocco che si armava,",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.00027
"C’era lu Re Marruocco ca si armava,",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.00027
Dadardè a còlla schifosa!,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.00027
Dda câ gonnellina di scarlatto,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
"Ddu fu tempu ca Berta filava,",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Ddu nun era tempu ingannato!,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Devono esor uguali tutte e tri!,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.00027
Devono essere uguali tutte e tre!,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Devono èssiri uguali tutti e tri!,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Dietro a dda schifosa!,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.00027
Dietro a quella schifosa!,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.00027
Dimane me manno a piglià 'a rrobba mia.,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Dmàn am mandano a ruscär il mie garabatli.,parmigiano,gpt-4.1-mini,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.00235
Domani mi mandano a prendere le mie cose.,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Dove se trova mai tanta lianza!,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
Dove si trova mai tanta alleanza!,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.00235
Dumani mi mandano a pigghiari li me roba.,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
Duvi si trova mai tanta alleanza!,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.00027
Dòvva agh trova mäi tanta alleanza!,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E am la mette in ca, dicendo che era l’infermiera... Parchè al agh credeva dabón che mi stessi morendo.",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
"E ancora deve correre, ancora deve versare sangue a capo di come si campa e si procede da galantuomo!",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0.00235
"E ancora he 'a correre, ancora he 'a iettà 'o sango a capi comme se campa e se prucede 'a galantomo!",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0.00235
"E ancora, quando si dovrebbe parlare Italiano e quando il dialetto?​",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.00027
"E ancora, quanno s'avess' 'a parlà Taliano e quanno 'o dialetto?​",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.00027
"E ancòrra deve còrror, ancòrra deve versär sangonàs a copè di cme agh campa e agh procede da galantòmm!",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"E ancòrra, quand agh dovrebbe squaquarär Talian e quand il dialètt?​",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
E avev' 'a chiagnere pe' te?,napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.01273
E chesto capisce tu: 'e denare!,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"E chi sei tu, che vuoi impedirmi di dire, vicino ai miei figli, che sono figlie mie?",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00027
"E chi si' tu, ca me vuò mpedì 'e dicere, vicin' 'e figlie mieie, ca me so' ffiglie?",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
"E chi séz ti, che vuoi impedirmi di dìr, davzén ai miei figli, che sono figlie mie?",parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.01273
E chistu capisci tu: li quibbus!,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
E chî quibbus ti sei accattatu tuttu ddu ca hai voluto!,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
E con i soldi ti sei comprato tutto quello che hai voluto!,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E cu sei tu, ca vuoi impedirmi di diri, ncuttu ê me figghi, ca sono figghi me?",siciliano,gpt-4.1-mini,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.04904
E cu' 'e denare t'he accattato tutto chello ca he voluto!,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
E còst capisci ti: i sóld!,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
E cón i sóld ti séz comprato incósa còll che hai volsù!,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.00235
E denare! E nun te l'avarria date?,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
E dovevi chiànciri pi te?,siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0.01273
E dovevi cridär per te?,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.00027
E dovevi piangere per te?,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E ghievano abbracciate a otto, a diece,",napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.01273
"E il feste migliori, i migliori Natali li ho passati sola cme ’n cagna.",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00027
"E le feste migliori, i migliori Natali li ho passati sola come una cagna.",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00027
"E li feste migliori, li migliori Natali li ho passati sola comu na cani.",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.01273
"E mai ca ti avessi vistu sottomessa, cu lu sa?",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"E mai che ti avessi visto sottomessa, chi lo sa?",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00027
"E maie ca t'avesse visto sottomessa, che ssaccio?",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E me la mette in casa, dicendo che era l’infermiera... Perché lui si credeva davvero che io stessi morendo.",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"E mm' 'a mette dint' 'a casa, dicenno ca era l'infermiera... Pecché isso se credeva overo ca io stevo murenno.",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.00235
"E mmeglie feste, 'e meglie Natale me ll'aggio passate sola comm' a na cana.",napoletano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0.01273
"E mâ mette ndi casa, dicendo ca era l’infermiera... Pirchì iddu si credeva dammiru ca mianu stissi morendo.",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.00235
"E mäi che ti avessi vist sottomessa, chi lo sa?",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
E parchè mäi dovrei andär a bisabóga mäl?,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
E pecché avess' 'a ji' malamente?,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
E perché mai dovrei andare male?,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.00027
E pirchì mai dovrei annari mali?,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E quand volevo vederti dormìr, ti?",parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.00235
"E quando volevo vederti dormire, tu?",italiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.00235
"E quanno me vulive vedé 'e durmi, tu?",napoletano,gpt-4.1-mini,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,0.04904
"E quannu volevo vederti dòrmiri, tu?",siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0.01273
E questo capisci tu: i soldi!,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
E quibbus! E nun te li avrei dati?,siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.01273
"E se io stessi davvero morendo, tu questo avresti fatto?",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,0.01273
"E se io stevo murenno overamente, tu chesto avisse fatto?",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.00235
"E se mi stessi dabón morendo, ti còst avresti fat?",parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0.01273
"E siddu mianu stissi dammiru morendo, tu chistu avresti fattu?",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
E soldi! E non te li avrei dati?,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
E sóld! E non te li avrei dati?,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"E va bbuono, mo basta!",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E va bene, ora basta!",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E va bonu, ora abbasta!",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E va bén, òra basta!",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00027
"E venivano abbracciate a otto, a deci,",siciliano,gpt-4.1-mini,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.00235
"E venivano abbracciate a otto, a dieci,",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"E venivano abbracciate a òt, a déz,",parmigiano,gpt-4.1-mini,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.00235
"E àncura deve cùrriri, àncura deve allambirsari sangu a capu di comu si campa e si procede pi galantuomo!",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,0.01273
"E àncura, quannu si dovrebbe parrari Talianu e quannu lu parrata?​",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.00235
Era tenuto per ciarètt di rasa.,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.00235
Era tenuto per gallo di razza.,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.00235
Era tenuto pi addu di inìa.,siciliano,gpt-4.1-mini,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,0.14346
Era troppo bello 'o mobile.,napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Era troppo bello il mobile.,italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Era troppu beddu lu mobile.,siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
Era tròp bél il tolètta.,parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.00235
"Filume', tu afforza me vuo pògnere?",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.00027
"Filumè, ti dabón vuoi farmi ruscär?",parmigiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
"Filumè, tu dammiru vuoi farmi pigghiari?",siciliano,gpt-4.1-mini,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.00235
"Filumè, tu davvero vuoi farmi prendere?",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"Già, me faceva male 'o pede.",napoletano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
"Già, mi faceva male il piede.",italiano,gpt-4.1-mini,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2e-05
